filename,xmin,ymin,xmax,ymax,angle,xloc,yloc,zloc
000000.txt,712,143,810,307,-0.2,1,1,8
000001.txt,387,181,423,203,1.85,-16,2,58
000001.txt,676,163,688,193,-1.65,4,1,45
000002.txt,804,167,995,327,-1.82,3,1,8
000002.txt,657,190,700,223,-1.67,3,2,34
000003.txt,614,181,727,284,1.55,1,1,13
000004.txt,280,185,344,215,1.96,-15,2,38
000005.txt,330,178,360,238,1.94,-8,2,23
000006.txt,548,171,572,194,-1.55,-2,0,48
000006.txt,49,185,227,246,0.15,-12,1,19
000006.txt,328,170,397,204,2.05,-12,1,38
000007.txt,564,174,616,224,-1.56,0,1,25
000007.txt,481,180,512,202,1.71,-7,1,47
000007.txt,542,175,565,193,1.64,-4,1,60
000007.txt,330,176,355,213,1.89,-12,1,34
000008.txt,0,192,402,374,-0.69,-2,1,3
000008.txt,334,178,624,372,2.04,-1,1,7
000008.txt,937,197,1241,374,-1.84,3,1,6
000008.txt,597,176,720,261,-1.33,1,1,14
000008.txt,741,168,792,208,1.74,7,1,33
000008.txt,884,178,956,240,-1.65,8,1,19
000009.txt,601,177,659,229,-1.5,0,1,23
000009.txt,600,177,624,193,1.75,0,1,66
000009.txt,574,178,598,194,1.78,-2,1,68
000010.txt,1013,182,1241,374,-2.09,4,1,5
000010.txt,354,185,549,294,1.95,-2,1,11
000010.txt,859,159,879,221,1.41,8,1,23
000010.txt,819,178,926,251,-1.78,5,1,16
000010.txt,800,178,878,230,-1.69,6,1,22
000010.txt,558,179,635,230,1.8,0,1,23
000010.txt,598,178,652,218,1.77,0,1,29
000010.txt,784,178,839,220,-1.67,7,1,28
000010.txt,663,175,707,204,1.92,4,1,42
000011.txt,883,144,937,259,0.3,5,1,12
000011.txt,873,152,933,256,0.29,5,1,13
000011.txt,444,171,504,225,1.74,-4,1,26
000011.txt,649,168,664,206,-0.39,2,1,34
000011.txt,0,217,85,374,2.42,-5,1,4
000011.txt,240,190,268,261,2.02,-7,1,15
000012.txt,662,185,690,205,-1.84,5,2,58
000012.txt,448,177,481,206,1.7,-13,2,65
000013.txt,455,183,533,241,1.74,-3,1,20
000014.txt,626,176,654,194,1.73,2,1,59
000015.txt,0,194,414,373,2.29,-2,1,4
000015.txt,1021,133,1101,316,0.71,4,1,7
000015.txt,692,169,712,224,-1.59,3,1,24
000015.txt,537,168,560,224,-1.46,-1,1,23
000016.txt,661,174,694,197,-1.45,4,1,44
000016.txt,125,91,474,253,2.11,-9,2,26
000016.txt,684,172,733,205,-1.4,4,1,33
000016.txt,0,193,386,374,-0.72,-3,1,6
000016.txt,587,158,648,188,1.2,0,1,90
000017.txt,728,173,791,200,-2.23,9,1,47
000018.txt,523,194,550,219,-1.59,-4,2,47
000018.txt,572,185,606,219,-1.68,-1,2,47
000018.txt,387,166,473,213,1.27,-15,3,59
000019.txt,0,0,424,374,2.07,-3,1,5
000019.txt,742,184,944,321,-1.81,2,1,9
000019.txt,551,184,575,204,-1.48,-3,2,59
000020.txt,685,181,804,258,-1.77,2,1,15
000021.txt,1056,190,1241,374,-2.22,2,1,3
000021.txt,359,179,516,270,1.9,-3,1,13
000021.txt,444,163,559,247,1.82,-2,1,17
000021.txt,870,115,1101,213,-0.47,10,1,21
000021.txt,724,171,790,215,-1.72,5,1,25
000021.txt,534,166,596,216,1.74,-1,1,26
000021.txt,709,162,765,205,-1.69,5,1,32
000021.txt,562,166,605,206,1.69,-1,1,31
000022.txt,128,199,218,237,-1.11,-19,2,31
